Species,Subspecies,ID,Sex,Locality,Country,Altitude,Measurer,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Wing_Chord,Tail_Length,Gape Width
Z. modestus,,1906.12.21.407,M,"Isle of Mahe, Seychelles",,,CS,13.6,7.7,3.5,3.5,17.8,10.3,59,39,6.1
Z. modestus,,1906.12.21.408,M,"Isle of Mahe, Seychelles",,,CS,13.9,7.2,3.3,3.4,17.6,9.6,58,39,6.2
Z. modestus,,1927.12.18.396,F,"Cascade, Mahe",,,CS,13.9,7.8,3.1,3.7,17.1,9.1,55,41,6.4
Z. mayottensis,,1906.12.21.420,F,Mayotte,Comoros,,CS,12.4,7,2.8,2.8,15.1,8.6,51,31,5
Z. mayottensis,,1906.12.21.422,M,Isle of Mayotte,Comoros,,CS,13.5,7.4,2.7,3.2,15.9,8.5,53,35,5.3
Z. mayottensis,,1906.12.21.425,F,Isle of Mayotte,Comoros,,CS,12.3,7,3,3.2,16.6,8.1,53,41,5.5
Z. mayottensis,,1959.5.330,M,"Pamanzi, Mayotte",Comoros,,CS,13,6.8,2.5,3,14.8,8.9,53,36,5.5
Z. kirki,,1959.5.286,F,"Mutsamouli, Grand Comoro",Comoros,,CS,11.7,7,2.8,2.9,15.7,8.9,52,32,6.2
Z. kirki,,1959.5.287,F,"Mutsamouli, Grand Comoro",Comoros,,CS,11.1,6.6,2.9,3,15.4,9.1,51,38.5,5.6
Z. kirki,,1959.5.289,M,"Nioumbadjou, Grand Comoro",Comoros,,CS,12.2,6.4,2.6,2.9,16.4,9.6,54,37,5.5
Z. kirki,,1959.5.292,M,"La Grille, Grand Comoro",Comoros,,CS,12.6,6.5,2.7,3,16.4,9,53.5,39,5.5
Z. maderaspatanus,,-,U,NA,NA,,CS,14.8,NA,NA,NA,16,NA,59,38,NA
Z. maderaspatanus,,1931.8.18.3354,M,"2 days NE of Maroantsetra, NE Madagascar",Madagascar,,CS,13.5,7.3,2.8,3.3,15,12.1,52,46,5.4
Z. maderaspatanus,,1931.8.18.3356,F,"40 km NW of Maroantsetra, NE Madagascar",Madagascar,,CS,13,6.8,2.8,3,13.5,10,54,42,5.5
Z. maderaspatanus,,1931.8.18.3358,F,"2 days NE of Maroantsetra, NE Madagascar",Madagascar,,CS,13.6,7.2,2.6,3.2,15.1,10.4,54.5,39,5.1
Z. maderaspatanus,,1931.8.18.3362,M,"40 km NW of Maroantsetra, NE Madagascar",Madagascar,,CS,13.2,7.2,2.6,3.2,14.1,11.2,55,41,5.9
Z. griseovirescens,,1911.12.18.347,F,Annobon Island,,,CS,14.9,8,3.1,3.2,20.2,10.1,60,48,5.6
Z. griseovirescens,,1911.12.23.4034,M,Annobon Island,,,CS,14.8,7.5,3.3,3.2,19.9,11.9,62.5,47,7.3
Z. griseovirescens,,1911.12.23.4035,M,Annobon Island,,,CS,15,7.5,3.1,3.2,19.9,13.1,67.5,48,6.8
Z. griseovirescens,,1911.12.23.4039,M,Annobon Island,,,CS,15.5,7.6,3.2,3.2,22.4,12,62.5,48,7.2
Z. ficedulinus,,1911.12.23.3847,F,Prince's Island,,,CS,12.6,6.8,2.6,2.8,17.5,11.8,53,39,5.1
Z. ficedulinus,,1911.12.23.3848,M,Prince's Island,,,CS,11.7,6.4,2.6,3,16,9.9,53.5,35,5.3
Z. ficedulinus,,1911.12.23.3849,F,Prince's Island,,,CS,12.1,6.2,2.5,2.9,16.1,11.1,54,39,4.9
Z. ficedulinus,,66.7.20.3,U,Prince's Island,,,CS,12,5.9,2.5,3,16.7,8,52,43,4.6
Z. mauritianus,,1909.3.2.16,U,Mauritius,,,CS,12.8,6.5,2.6,2.7,16.7,11,53.5,41,6
Z. mauritianus,,1975.2.1,F,"Vacoas, Mauritius",,,CS,12.8,6.5,2.5,2.7,17.9,11,53.5,41,6.5
Z. mauritianus,,73.10.25.15,U,Mauritius,,,CS,13.2,7,2.8,2.8,17.1,11,55,42,5.7
Z. mauritianus,,95.5.1.2.238,U,Mauritius,,,CS,11.6,6.1,2.5,2.5,18.1,11.7,55,42.5,5.4
Z. borbonicus ,,69.5.10.5,U,Reunion,,,CS,12.4,6.5,2.5,2.6,17.8,10.3,53,40,5.2
Z. borbonicus ,,73.10.25.16,U,Reunion,,,CS,12.5,6.4,2.4,2.5,18.5,9.6,55.5,44,4.6
Z. borbonicus ,,73.10.25.4,U,Reunion,,,CS,12.7,6.3,2.9,2.6,19.3,10.1,52.5,43,4.9
Z. borbonicus ,,95.5.1.21236,F,Reunion,,,CS,12.4,6.4,2.5,2.3,18.4,10.1,54.5,44,5
Z. vaughani,,1926.5.2.27,M,Pemba Island,,,CS,11.6,6.8,2.9,3.1,15.3,7.2,50,37,6.1
Z. vaughani,,1929.6.27.66,M,Pemba Island,,,CS,11.6,6.9,2.9,2.8,15.3,8.9,50,37.5,6.2
Z. vaughani,,1929.6.27.68,F,Pemba Island,,,CS,11.5,7,2.9,3.2,14.3,6.9,52,38,6
Z. vaughani,,1929.6.27.69,F,Pemba Island,,,CS,11.3,6.5,3.2,3.1,14.4,7.2,48.5,38,6
