Species,Subspecies,ID,Sex,Locality,Country,Altitude,Measurer,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Wing_Chord,Tail_Length,Gape Width
Z. stuhlmanni,,1934.1.17.27,F,"Mubango, Mabira forest",Uganda,4000',FCM,10.73,5.95,2.44,3.04,15.58,10.58,58.5,40,5.84
Z. stuhlmanni,,1913.7.16.139,M,Mpumu,Uganda,,FCM,9.96,5.39,2.13,2.54,15.16,9.62,54.5,34.5,5.19
Z. stuhlmanni,,1913.7.16.140,F,Mpumu,Uganda,,FCM,10.9,5.56,2.39,2.91,17.24,10.73,57,45,5.54
Z. stuhlmanni,,1913.7.16.141,U,Mpumu,Uganda,,FCM,11.18,5.83,2.49,2.95,16.57,9.04,56,42,4.71
Z. stuhlmanni,,1913.7.16.142,U,Mpumu,Uganda,,FCM,11.54,6.3,2.52,2.89,16.37,9.51,58,41,5.56
Z. stenocricotus,,1966.16.3408,F,Saxenhof,Cameroon,1700',FCM,12.03,5.76,2.56,2.64,14.11,10.14,55,28.3,5.01
Z. stenocricotus,,1966.16.3386,F,Cameroon Mt,Cameroon,3300',FCM,11.9,4.75,2.09,2.23,15.23,8.04,52,30,4.95
Z. stenocricotus,,1951.34.814,M,Lake oku,Cameroon,7000',FCM,13.03,6.17,2.73,2.66,15.85,10.11,60,40,4.87
Z. stenocricotus,,1951.34.812,F,Lake oku,Cameroon,7000',FCM,11.51,6.02,2.71,2.55,16.75,10.98,56,39,5.21
Z. stenocricotus,,1951.34.812,F,Lake oku,Cameroon,7000',FCM,11.65,6.25,2.8,2.53,16.15,11.21,57,38,5.3
Z. stenocricotus,,1926.8.8.430,M,Lake oku,Cameroon,6000',FCM,11.07,6.38,3.07,2.93,16.04,10.21,59,39,5.21
Z. stenocricotus,,1951.34.817,F,Lake oku,Cameroon,7000',FCM,11.34,6.37,3.01,3.04,16.28,9.42,60,42,5.85
Z. senegalensis ,demeryi,1977.20.2488,U,"Mt Nimba, mine road",Liberia,1200m,FCM,11.2,5.87,2.44,2.83,14.24,10.64,55,37,4.99
Z. senegalensis ,demeryi,1977.20.2489,U,"Mt Nimba, mine road",Liberia,500m,FCM,10.91,6.18,2.62,3.07,14.61,8.95,54,37.5,5.18
Z. senegalensis ,demeryi,1977.20.2491,U,"Mt Nimba, mine road",Liberia,1100m,FCM,10.07,5.35,2.35,2.65,14.12,9.24,51,35.5,4.87
Z. senegalensis ,demeryi,1977.20.2492,M,"Mt Nimba, mine road",Liberia,500m,FCM,10.93,6.45,2.44,2.83,14.25,9.68,50,34,4.67
Z. senegalensis ,,1977.20.2495,M,"Mt Nimba, Ykepa",Liberia,500m,FCM,10.67,6.41,2.44,3.22,14.69,9,53,36.5,4.66
Z. senegalensis ,,1938.8.3.10,F,"Tunga, Benue prov.",Nigeria,500',FCM,10.85,5.76,2.69,3.02,13.93,8.76,53,44,5.46
Z. senegalensis ,,1955.59.821,M,Enugo,Nigeria,500',FCM,10.31,6.86,2.49,2.76,14.54,9.21,54,36,4.56
Z. senegalensis ,,1966.16.3409,F,Enugo,Nigeria,500',FCM,10.4,6.37,2.61,2.71,14.27,10.31,55,39,5.54
Z. senegalensis ,,1966.16.3410,M,Enugo,Nigeria,500',FCM,10.16,5.68,2.37,2.5,14.1,7.26,50,34,5.8
Z. senegalensis ,,1966.16.3411,F,Enugo,Nigeria,500',FCM,10.09,5.71,2.04,2.7,14.21,10,52,36,4.49
Z. virens ,capensis,1905.12.29.1740,M,"Knysna, Cape Colony",South Africa,,CS,12.7,6.4,3.1,3.3,17.8,12.2,59.5,49.5,5.9
Z. virens ,capensis,1905.12.29.1740,M,"Knysna, Cape Colony",South Africa,,FCM,12.53,6.43,2.89,3.2,17.61,11.67,59,49,5.74
Z. virens ,capensis,95.5.1.2578,M,Knysna River,South Africa,,CS,13,6.6,3.1,3.3,17.2,10.7,59,53,6.2
Z. virens ,capensis,95.51.2578,M,Kysna River,South Africa,,FCM,12.95,6.28,2.89,3.22,16.83,11.74,58.5,54,6.33
Z. virens ,capensis,76.5.23.166,M,Knysna,South Africa,,FCM,13.4,6.34,2.67,3.02,17.12,9.9,56,50,5.52
Z. virens ,capensis,1905.12.29.1741,F,"Knysna, Cape Colony",South Africa,1400',FCM,12.04,6.13,2.53,3.18,17.92,11.49,57,45.5,5.48
Z. virens ,capensis,1905.12.29.1722,F,Ngoye forest,Zululand,800',FCM,13.18,6.46,2.86,3.1,16.72,11.57,58,45,5.32
Z. virens ,,1905.12.29.1717,M,Sibudeni,Zululand,1500',FCM,12.63,6.84,2.85,3.23,17.14,10.61,61,51,5.18
Z. virens ,,1905.12.29.1718,F,Sibudeni,Zululand,1500',FCM,12.74,6.63,2.63,3.08,17.24,11.56,58.5,51,5.32
Z. virens ,,1905.12.29.1719,M,Sibudeni,Zululand,1500',FCM,12.64,6.15,2.56,3.04,17.7,11.54,61,51,5.98
Z. virens ,,1905.12.29.1720,U,Sibudeni,Zululand,1500',FCM,12.8,6.54,2.92,3.23,16.99,11.6,60,49,5.65
Z. pallidus,,1950.50.657,M,"Grootderm, Little Namaqualand",Namibia,300?,FCM,11.3,5.9,2.6,2.8,17.2,11.4,55.5,50,5.7
Z. pallidus,,1950.50.657,M,"Grootderm, Little Namaqualand",Namibia,300?,FCM,11.3,5.63,2.61,2.94,16.73,11.11,55.5,52,5.35
Z. pallidus,,1950.50.666,F,"Great Namaqualand, near Seeheim",,2500',FCM,11.24,5.72,2.56,2.85,16.82,11.54,56,52,5.58
Z. pallidus,,1950.50.667,F,"Kuiseb river, 38miles SE of Walfish bay",Damaraland SW Africa,900',FCM,11.47,5.52,2.52,2.64,16.31,11.17,55.5,47,5.77
Z. pallidus,,1950.50.668,F,"Kuiseb river, 38miles SE of Walfish bay",Damaraland SW Africa,900',FCM,11.34,5.71,2.41,2.39,16.67,11.39,54.5,48,5.41
Z. pallidus,,1950.50.669,F,"Kuiseb river, 38miles SE of Walfish bay",Damaraland SW Africa,900',FCM,11.45,5.55,2.11,2.56,16.9,11.33,56,51,4.89
Z. pallidus,,1950.50.669,F,"Kuiseb river, 38miles SE of Walfish bay",Damaraland SW Africa,900',FCM,11.52,5.77,2.46,2.65,17.71,11.75,56,49,5.39
Z. pallidus,,1950.50.670,M,"Kuiseb river, 38miles SE of Walfish bay",Damaraland SW Africa,900',FCM,11.15,5.83,2.49,2.51,17.18,11.16,56,45,5.54
Z. pallidus,sundevalli,1904.11.19.56,U,"Fourteen streems, Vaal river",,,FCM,11.54,5.66,2.23,2.73,17.22,10.82,57.5,45.5,5.28
Z. pallidus,sundevalli,1928.2.5.12,F,"Venterskroon, Polchefstroom",,,FCM,11.56,5.67,2.71,2.84,17.71,11.62,59,49,5.44
Z. pallidus,sundevalli,1923.8.7.2981,U,Bloemfontein,Orange free state,,FCM,11.9,5.75,2.31,2.49,17.06,11.17,57,44,5.04
Z. pallidus,sundevalli,1923.8.7.2982,U,Bloemfontein,Orange free state,,FCM,11.73,6.55,2.7,2.85,17.78,9.9,59,43,5.25
Z. pallidus,sundevalli,1923.8.7.2983,U,Bloemfontein,Orange free state,,FCM,10.78,6.11,2.52,2.78,17.7,11.72,58.5,45,5.3
Z. pallidus,sundevalli,1904.4.1.52,M,"Abraham's Kraal, Modar river",Orange free state,,FCM,11.51,5.91,2.58,2.94,17.42,11.68,67.5,48,4.8
Z. flavilateralis,,1939.1.28.38,M,"Chome, S Pare Mts",,6100',FCM,11.39,4.66,2.1,2.54,15.68,8.03,57.5,39,4.93
Z. flavilateralis,,1938.12.23.5,F,"Chome, S Pare Mts",,6100',FCM,11.89,5.56,2.41,2.86,16.44,10.28,54.5,38,4.82
Z. flavilateralis,,2380 (colector'r Nº),M,"Chome, S Pare Mts",,6100',FCM,12.3,5.59,2.41,2.36,15.92,9.76,55.5,38,4.57
Z. flavilateralis,,1935.12.23.6,F,"Chome, S Pare Mts",,4300',FCM,10.6,5.51,2.34,2.78,14.73,11.29,55,38.5,5.42
Z. flavilateralis,jubaensis,1946.5.2711,F,"near Yavello, S Abyssinia (Arid ""thorn-shrub"")",,4000',FCM,9.35,5.51,2.34,2.42,13.54,8.94,53.5,35.5,4.31
Z. flavilateralis,jubaensis,192.10.15.1282,M,"Sagan River, S Abyssinia",,2200',FCM,10.99,5.93,2.52,2.55,13.98,9.48,54,43,4.79
Z. flavilateralis,jubaensis,192.10.15.1283,F,"Sagan River, S Abyssinia",,2200',FCM,10.92,5.78,2.41,2.69,14.67,8.83,53,39.5,4.42
Z. flavilateralis,jubaensis,192.10.15.1284,F,"Sagan River, S Abyssinia",,2200',FCM,10.64,5.43,2.36,2.56,14.86,7.49,49,35.5,4.84
Z. flavilateralis,jubaensis,192.10.15.1286,F,"Sagan River, S Abyssinia",,2200',FCM,11.98,5.93,2.41,2.57,15.17,8.97,51,33,4.52
Z. abyssinicus ,omoensis,1927.11.5.580,M,Azobahr (W shore of lake Tana),,6000',FCM,12.2,6.08,2.47,3.01,15.5,9.57,58,41,5.05
Z. abyssinicus ,omoensis,19.12.10.15.1287,M,Roke Gudr,S. Abyssinia,3800',FCM,10.6,5.59,2.12,2.68,15.52,8.65,57,43.5,5.29
Z. abyssinicus ,omoensis,1912.10.15.1290,F,"Wurka, Goffa",S. Abyssinia,6000',FCM,10.95,6.06,2.39,2.86,15.82,7.47,53,38,5.44
Z. abyssinicus ,omoensis,1912.10.15.1934,M,"Banna, NE of L.Rudolf",S. Abyssinia,2600',FCM,11.63,5.67,2.23,2.86,15.34,7.56,54,40,5.56
Z. abyssinicus ,omoensis,1912.10.15.1975,F,"Banna, NE of L.Rudolf",S. Abyssinia,3800',FCM,12.21,5.9,2.61,3.13,15.84,9.6,57,40.5,5.84
Z. abyssinicus ,omoensis,1912.10.15.1978,U,"Banna, NE of L.Rudolf",S. Abyssinia,3800',FCM,11.34,5.97,2.75,2.79,15.24,7.57,56.5,41.5,5.47
Z. abyssinicus ,arabs,1935.5.10.48,F,Taif,Arabia,5500',FCM,11.98,6.28,2.5,2.98,15.7,9.54,56,41,5.17
Z. abyssinicus ,arabs,1913.7.18.44,M,Menacha,Yemen,7000',FCM,12.46,6.37,2.53,2.97,16.61,7.97,55,40,5.57
Z. abyssinicus ,arabs,1913.7.18.45,M,Menacha,Yemen,7500',FCM,11.46,5.87,2.27,2.92,15.44,10.49,56.5,39,5.59
Z. abyssinicus ,arabs,1913.7.18.49,F,Menacha,Yemen,7000',FCM,11.96,6.03,2.64,2.94,15.76,9.5,56,40.5,4.9
Z. abyssinicus ,arabs,1913.7.18.49,F,Menacha,Yemen,7000',FCM,12.34,6.19,2.53,2.93,16.38,8.92,55.5,41,5.19
Z. abyssinicus ,arabs,1913.7.18.50,F,Menacha,Yemen,7000',FCM,11.58,6.04,2.31,2.98,15.91,9.48,56,39,5.01
Z. sp. nov.,,1923.8.7.2987,F,"Mush Haled, Wassangli",Somalia,4000',FCM,11.81,6.42,2.81,2.77,16.74,9.49,59,45,6.38
Z. sp. nov.,,1923.8.7.2989,F,"Mush Haled, Wassangli",Somalia,4000',FCM,11.74,5.79,5.56,2.98,16.85,9.03,56.5,44,5.31
Z. sp. nov.,,1923.8.7.2990,M,"Mush Haled, Wassangli",Somalia,4000',FCM,11.64,5.92,2.6,2.98,16.06,N.a,N.a,46,5.87
Z. sp. nov.,,1923.8.7.2996,F,Durass,Somalia,5000',FCM,11.22,6.1,2.26,2.86,16.26,9.06,54.5,42,5.11
Z. sp. nov.,,1982.3.44,M,Daloh,Somalia,,FCM,11.54,6.8,2.32,3.4,16.26,8.8,58.5,46,5.32
Z. sp. nov.,,1956.37.9,M,Al-Medo,Somalia,4500'-5000',FCM,11.22,6.02,2.32,2.67,16.39,8.1,55.5,47,5.36
Z. sp. nov.,,98.7.27.58,F,Wagga,Somalia,,FCM,11.7,5.93,2.47,2.87,16.05,8.51,57,49,5.41
Z. sp. nov.,,1905.11.27.228,F,Waghar,Somalia,,FCM,11.92,5.86,2.31,2.93,16.4,9,55,48,5.8
Z. sp. nov.,,1905.11.27.229,M,Waghar,Somalia,,FCM,11.8,6.42,2.38,2.8,16.52,9.46,56,42,5.84
Z. sp. nov.,,1905.11.27.225,U,Waghar,Somalia,,FCM,12.28,5.45,2.23,2.62,16.15,9.89,55.5,42,5.59
Z. sp. nov.,,1905.11.27.225,U,Waghar,Somalia,,FCM,12.14,5.3,2.01,2.66,16.8,8.82,55,45,5.39
Z. socotranus,,1953.36.34,M,Hadibo,Socotra,,FCM,12.15,6.55,2.39,3.08,17.37,8.17,55,40,5.69
Z. socotranus,,1934.8.12.23,F,Hejâma,Socotra,1800',FCM,11.58,6.07,2.42,3.14,16.35,10.23,57,42,6.01
Z. socotranus,,1934.8.12.25,F,Dehazhaz,Socotra,1500',FCM,12.99,6.01,2.44,3.44,17.6,9.75,56,47,6.37
Z. socotranus,,1934.8.12.25,F,Dehazhaz,Socotra,1500',FCM,12.97,6.99,2.59,3.22,16.88,9.15,56.5,42.5,6.39
